key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:spokesperson
campaign-description-case-05,AT19-X0019,Lorem ipsum,โลเร็ม อปิซัม,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-06,AU20-X0020,Lorem ipsum,لوريم إيبسوم,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-07,AV21-X0021,Lorem ipsum,洛伦·伊普森,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-08,AW22-X0022,Lorem ipsum,<marquee>Hacked</marquee>,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-09,AX23-X0023,Lorem ipsum,<script>alert('Hacked!');</script>,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-10,AY24-X0024,Lorem ipsum,' or 'A' = 'A,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-startMoment-base,AZ25-X0025,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2201/01/01 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-startMoment-case-01,BA26-X0026,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:01,2201/01/01 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-startMoment-case-02,BB27-X0027,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2200/12/31 23:59,2201/01/01 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-endMoment-base,BC28-X0028,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-endMoment-case-01,BD29-X0029,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/01/08 00:01,http://lorem.com/ipsum,true,spokesperson-01
campaign-endMoment-case-02,BE30-X0030,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2200/12/31 23:59,http://lorem.com/ipsum,true,spokesperson-01
campaign-endMoment-case-03,BF31-X0031,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2201/01/01 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-moreInfo-base,BG32-X0032,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-moreInfo-case-01,BH33-X0033,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,,true,spokesperson-01
campaign-moreInfo-case-02,BI34-X0034,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://a.b,true,spokesperson-01
campaign-moreInfo-case-03,BJ35-X0035,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,https://www.lorem-ipsum.org,true,spokesperson-01
campaign-moreInfo-case-04,BK36-X0036,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://example.org?a=1&b=2,true,spokesperson-01
campaign-moreInfo-case-05,BL37-X0037,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://example.org/a/b?a&b,true,spokesperson-01
