key,title,achievements,effort,kind,key:campaign
milestone-15,<script>alert('Hacked!');</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-16,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-17,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-18,Lorem ipsum,L,50.00,TEASER,campaign-published-01
milestone-19,Lorem ipsum,Lo,50.00,TEASER,campaign-published-01
milestone-20,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",50.00,TEASER,campaign-published-01
milestone-21,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",50.00,TEASER,campaign-published-01
milestone-22,Lorem ipsum,à¹‚à¸¥à¹€à¸£à¹‡à¸¡ à¸­à¸›à¸´à¸‹à¸±à¸¡,50.00,TEASER,campaign-published-01
milestone-23,Lorem ipsum,Ù„ÙˆØ±ÙŠÙ… Ø¥ÙŠØ¨Ø³ÙˆÙ…,50.00,TEASER,campaign-published-01
milestone-24,Lorem ipsum,æ´›ä¼¦Â·ä¼Šæ™®æ£®,50.00,TEASER,campaign-published-01
milestone-25,Lorem ipsum,<marquee>Hacked</marquee>,50.00,TEASER,campaign-published-01
milestone-26,Lorem ipsum,<script>alert('Hacked!');</script>,50.00,TEASER,campaign-published-01
milestone-27,Lorem ipsum,' or 'A' = 'A,50.00,TEASER,campaign-published-01
milestone-28,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-29,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",0.01,TEASER,campaign-published-01
milestone-30,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",0.02,TEASER,campaign-published-01
milestone-31,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",99.99,TEASER,campaign-published-01
milestone-32,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",100.00,TEASER,campaign-published-01
milestone-33,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-34,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,ENGAGING,campaign-published-01
milestone-35,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,CONVERSION,campaign-published-01
milestone-36,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",20.00,TEASER,campaign-published-06
milestone-37,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",30.00,ENGAGING,campaign-published-06
milestone-38,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",15.00,TEASER,campaign-draft-sp2-01
milestone-39,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",25.00,ENGAGING,campaign-draft-sp2-01
milestone-40,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",10.00,TEASER,campaign-draft-sp2-02
milestone-41,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",20.00,CONVERSION,campaign-draft-sp2-02
milestone-42,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",12.00,TEASER,campaign-draft-sp2-03
milestone-43,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",22.00,ENGAGING,campaign-draft-sp2-03
