key,ticker,name,description,startMoment,endMoment,moreInfo,key:sponsor,draftMode
sponsorship-16,OI96-JqYbcZuC,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
# startMoment - errata variations
sponsorship-17,NE74-j4I5g,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,"",2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-18,FE94-Yj2sTzV_K,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2024/31/12 23:59,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-19,FZ49-JhI3ufS,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2201/01/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
# endMoment - errata variations
sponsorship-20,PK23-GOp8pF,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:01,"",http://lorem.com/ipsum,sponsor-01,true
sponsorship-21,RR52-V9Vtq,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2024/31/12 23:59,http://lorem.com/ipsum,sponsor-02,true
sponsorship-22,ZG03-8k_BV,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2201/01/01 00:00,http://lorem.com/ipsum,sponsor-01,true
# moreInfo - errata variations
sponsorship-23,TT66-j7yQLLX,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://,sponsor-02,true
sponsorship-24,IP74-UuJUn,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,ftp://,sponsor-01,true
sponsorship-25,HL13-8UGoaTz9mD,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://a,sponsor-02,true
sponsorship-26,BK19-CV7lhzbFMw,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,ftp://a,sponsor-01,true
sponsorship-27,MT62-KzzkPvkCft,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",sponsor-02,true
# draftMode - errata variations
sponsorship-28,PM73-nNimAH9gu,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,
sponsorship-29,RG77-I_OGtb1p7,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,Lorem ipsum dolor sit amet
=======
key,ticker,name,description,startMoment,endMoment,moreInfo,key:sponsor,draftMode
# ticker - standard variations
sponsorship-00,,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-01,bO46-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-02,bb46-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-03,BOO46-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-04,BO4-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-05,BO466-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-06,BO46up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-07,BO46-up1AOPIJK53E4WTGRFDG,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-08,BO46-up1AO$,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-09,BO46-up1AO XA,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-10,BO46-up1AO-XA,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
# name - errata variations
sponsorship-11,QA53-JawvlESI0V,,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-12,CN00-1EBmwqjCu,"",Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-13,FS25-hz3Yt9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem",Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
# description - errata variations
sponsorship-14,YN70-aQ_7O4ugF,Lorem ipsum dolor sit amet,,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-15,MF13-ckhaa,Lorem ipsum dolor sit amet,"",2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-16,OI96-JqYbcZuC,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
# startMoment - errata variations
sponsorship-17,NE74-j4I5g,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,"",2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-18,FE94-Yj2sTzV_K,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/01/01 00:01,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-19,FZ49-JhI3ufS,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2201/01/01 00:01,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
# endMoment - errata variations
sponsorship-20,PK23-GOp8pF,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,"",http://lorem.com/ipsum,sponsor-01,true
sponsorship-21,RR52-V9Vtq,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-22,ZG03-8k_BV,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2201/01/01 00:01,http://lorem.com/ipsum,sponsor-01,true
# moreInfo - errata variations
sponsorship-23,TT66-j7yQLLX,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://,sponsor-02,true
sponsorship-24,IP74-UuJUn,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,ftp://,sponsor-01,true
sponsorship-25,HL13-8UGoaTz9mD,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://a,sponsor-02,true
sponsorship-26,BK19-CV7lhzbFMw,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,ftp://a,sponsor-01,true
sponsorship-27,MT62-KzzkPvkCft,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",sponsor-02,true
# draftMode - errata variations
sponsorship-28,PM73-nNimAH9gu,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,
